form	lemma	POS	morph
vent	vent	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
,	,	PONfbl	MORPH=empty
Tel	tel	PROind	|NOMB.=s||GENRE=m||CAS=r|
i	i2	PROadv	MORPH=empty
a	avoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
emprunte	emprunter	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s||GENRE=m||CAS=r|
et	et	CONcoo	MORPH=empty
tel	tel	PROind	|NOMB.=s||GENRE=m||CAS=r|
i	i2	PROadv	MORPH=empty
a	avoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
rent	rendre	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
,	,	PONfbl	MORPH=empty
Touz	tot	DETind	|NOMB.=p||GENRE=m||CAS=r|
cist	cest	DETdem	|NOMB.=s||GENRE=m||CAS=r|
siecles	siecle	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
foire	foire1	NOMcom	NOMB.=s
,	,	PONfbl	MORPH=empty
li	le	DETdef	|NOMB.=s||GENRE=m||CAS=n|
autres	autre	ADJind	|NOMB.=s||GENRE=m||CAS=n|
paiemenz	paiement	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
.	.	PONfrt	MORPH=empty
[	[	PONfbl	MORPH=empty
102rb	deduire	VERppe	|NOMB.=s||GENRE=m||CAS=r|
]	]	PONfbl	MORPH=empty
Helas	he_las	INJ	MORPH=empty
que	que4	CONsub	MORPH=empty
ferons	faire	VERcjg	|MODE=ind||TEMPS=fut||PERS.=1||NOMB.=p|
nos	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=n|
qui	qui	PROrel	|NOMB.=p||GENRE=m||CAS=n|
enpruntomes	emprunter	VERcjg	|MODE=ind||TEMPS=pst||PERS.=1||NOMB.=p|
tant	tant	ADVgen	DEGRE=-
?	?	PONfrt	MORPH=empty
Or	or4	ADVgen	DEGRE=-
deussiens	devoir	VERcjg	|MODE=sub||TEMPS=pst||PERS.=2||NOMB.=p|
paier	paiier	VERinf	MORPH=empty
et	et	CONcoo	MORPH=empty
rendre	rendre	VERinf	MORPH=empty
meintenant	maintenant	ADVgen	DEGRE=-
!	!	PONfrt	MORPH=empty
Qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
ne	ne1	ADVneg	MORPH=empty
s’	soi1	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
aquitera	aquiter	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=s|
molt	mout	ADVgen	DEGRE=-
sera	estre1	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=s|
mescheaant	meschëoir	VERppa	|NOMB.=s||GENRE=m||CAS=n|
Fous	fol3	ADJqua	|NOMB.=s||GENRE=m||CAS=n||DEGRE=p|
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
tant	tant	ADVgen	DEGRE=-
atarde	atarder	VERcjg	|MODE=sub||TEMPS=pst||PERS.=3||NOMB.=s|
qu’	que4	CONsub	MORPH=empty
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
ne	ne1	ADVneg	MORPH=empty
puet	pöoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
en	en1	PRE	MORPH=empty
avant	avant	ADVgen	DEGRE=-
.	.	PONfrt	MORPH=empty
Nous	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=n|
oions	oir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=1||NOMB.=p|
les	le	DETdef	|NOMB.=p||GENRE=m||CAS=r|
boens	bon	ADJqua	|NOMB.=p||GENRE=m||CAS=r||DEGRE=p|
maistres	maistre	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
toute	tot	DETind	|NOMB.=p||CAS=r||DEGRE=-|
jour	jor	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
sarmonner	sarmoner	VERinf	MORPH=empty
Por	por2	PRE	MORPH=empty
nos	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=r|
torner	torner	VERinf	MORPH=empty
a	a3	PRE	MORPH=empty
bien	bien2	NOMcom	DEGRE=p
et	et	CONcoo	MORPH=empty
por	por2	PRE	MORPH=empty
nos	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=r|
amender	amender	VERinf	MORPH=empty
Et	et	CONcoo	MORPH=empty
nos	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=r|
mostrent	mostrer	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
voie	voie	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
par	par	PRE	MORPH=empty
c’	que2	PROrel	MORPH=empty
on	on	PROind	|NOMB.=s||GENRE=n||CAS=n|
se	soi1	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
doit	devoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
sauver	sauver	VERinf	MORPH=empty
Fous	fol3	ADJqua	|NOMB.=s||GENRE=m||CAS=n||DEGRE=p|
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
tant	tant	ADVgen	DEGRE=-
s’	soi1	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
atarde	atarder	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
ne	ne1	ADVneg	MORPH=empty
la	il	PROper	|PERS.=3||NOMB.=s||GENRE=f||CAS=r|
puet	pöoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
trover	trover	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Ha	häir	INJ	MORPH=empty
Dex	dieu	NOMpro	|NOMB.=s||GENRE=m||CAS=n|
!	!	PONfrt	MORPH=empty
La	le	DETdef	|NOMB.=s||GENRE=f||CAS=n|
bonne	bon	ADJqua	|NOMB.=s||GENRE=f||CAS=n||DEGRE=p|
voie	voie	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
seroit	estre1	VERcjg	|MODE=con||PERS.=3||NOMB.=s|
bonne	bon	ADJqua	|NOMB.=s||GENRE=f||CAS=r||DEGRE=p|
a	a3	PRE	MORPH=empty
tenir	tenir1	VERinf	MORPH=empty
Ce	ce1	PROdem	|NOMB.=s||GENRE=n||CAS=r|
savons	savoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=1||NOMB.=p|
nos	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=n|
devoir	devoir	VERinf	MORPH=empty
qu’	que4	CONsub	MORPH=empty
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
nos	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=i|
covient	covenir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
morir	morir	VERinf	MORPH=empty
Por	por2	PRE	MORPH=empty
quoi	coi2	PROrel	|NOMB.=s||GENRE=n||CAS=i|
nos	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=n|
laissons	laissier	VERcjg	|MODE=ind||TEMPS=pst||PERS.=1||NOMB.=p|
nos	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=n|
en	en1	PRE	MORPH=empty
pechié	pechié	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
envielir	envoiier	VERinf	MORPH=empty
?	?	PONfrt	MORPH=empty
On	on	PROind	|NOMB.=s||GENRE=n||CAS=n|
n’	ne1	ADVneg	MORPH=empty
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
pas	pas	ADVneg	MORPH=empty
en	en1	PRE	MORPH=empty
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
fin	fin1	NOMcom	|NOMB.=s||GENRE=f||CAS=r||DEGRE=p|
quites	quite	ADJqua	|NOMB.=p||GENRE=m||CAS=r||DEGRE=p|
por	por2	PRE	MORPH=empty
repentir	repentir	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Quant	cant1	CONsub	MORPH=empty
li	le	DETdef	|NOMB.=p||GENRE=m||CAS=n|
dui	deus	ADJcar	|NOMB.=p||GENRE=m||CAS=n|
champion	champïon	NOMcom	|NOMB.=p||GENRE=m||CAS=n|
se	soi1	PROper	|PERS.=3||NOMB.=p||GENRE=m||CAS=r|
sont	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
bien	bien1	ADVgen	DEGRE=p
conbatu	combatre	VERppe	|NOMB.=p||GENRE=m||CAS=n|
Covient	covenir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
que	que4	CONsub	MORPH=empty
li	le	DETdef	|NOMB.=s||GENRE=m||CAS=n|
uns	un	PROind	|NOMB.=s||GENRE=m||CAS=n|
perde	perdre	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
le	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
baston	baston	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
et	et	CONcoo	MORPH=empty
l’	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
escu	escu	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
Quant	cant1	CONsub	MORPH=empty
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
tant	tant	ADVgen	DEGRE=-
boutet	boter1	VERppe	|NOMB.=s||GENRE=m||CAS=r|
que	que4	CONsub	MORPH=empty
on	on	PROind	|NOMB.=s||GENRE=n||CAS=n|
l’	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
a	avoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
abatu	abatre	VERppe	|NOMB.=s||GENRE=m||CAS=r|
Por	por2	PRE	MORPH=empty
ce	ce1	PROdem	|NOMB.=s||GENRE=n||CAS=r|
n’	ne1	ADVneg	MORPH=empty
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
pas	pas	ADVneg	MORPH=empty
quites	quite	ADJqua	|NOMB.=p||GENRE=m||CAS=r||DEGRE=p|
s’	se	CONsub	MORPH=empty
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
se	soi1	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
claimme	clamer	VERcjg	|TEMPS=pst||PERS.=3||NOMB.=s|
veincu	veintre	VERppe	|NOMB.=s||GENRE=m||CAS=n|
.	.	PONfrt	MORPH=empty
Je	je	PROper	|PERS.=1||NOMB.=s||GENRE=m||CAS=n|
di	dire	VERcjg	|MODE=ind||TEMPS=pst||PERS.=1||NOMB.=s|
por	por2	PRE	MORPH=empty
meintes	maint	DETind	|NOMB.=p||GENRE=f||CAS=r|
genz	gent1	NOMcom	|NOMB.=p||GENRE=f||CAS=r|
qui	qui	PROrel	|NOMB.=p||GENRE=m||CAS=n|
devisent	deviser	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
entr’	entre	PRE	MORPH=empty
aus	il	PROper	|PERS.=3||NOMB.=p||GENRE=m||CAS=i|
:	:	PONfbl	MORPH=empty
«	«	PONfbl	MORPH=empty
La	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
bonne	bon	ADJqua	|NOMB.=s||GENRE=f||CAS=r||DEGRE=p|
repentance	repentance	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
–	–	PONfbl	MORPH=empty
font	faire	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
il	il	PROper	|PERS.=3||NOMB.=p||GENRE=m||CAS=n|
-	-	PONfbl	MORPH=empty
nos	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=i|
fera	faire	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=s|
saus	sauf	ADJqua	|NOMB.=p||GENRE=m||CAS=r|
»	»	PONfbl	MORPH=empty
.	.	PONfrt	MORPH=empty
Sor	sor2	PRE	MORPH=empty
ce	ce1	PROdem	|NOMB.=s||GENRE=n||CAS=r|
se	soi1	PROper	|PERS.=3||NOMB.=p||GENRE=m||CAS=r|
delitent	delitier	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
en	en1	PRE	MORPH=empty
pechiez	pechié	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
criminaus	criminal	NOMcom	|NOMB.=p||GENRE=m||CAS=r||DEGRE=p|
,	,	PONfbl	MORPH=empty
Mais	mais1	CONcoo	MORPH=empty
sseure	sëure	ADVgen	MORPH=empty
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
et	et	CONcoo	MORPH=empty
f	estre1	ADVgen	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
…	…	PONfbl	MORPH=empty
Se	se	CONsub	MORPH=empty
je	je	PROper	|PERS.=1||NOMB.=s||GENRE=m||CAS=n|
sanz	sans	PRE	MORPH=empty
deservir	deservir	VERinf	MORPH=empty
…	…	PONfbl	MORPH=empty
Merite	merite	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
que	que2	PROrel	NOMB.=s
je	je	PROper	|PERS.=1||NOMB.=s||GENRE=m||CAS=n|
por	por2	PRE	MORPH=empty
[	[	PONfbl	MORPH=empty
lacune	laconce	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
]	]	PONfbl	MORPH=empty
La	le	DETdef	|NOMB.=s||GENRE=f||CAS=n|
fin	fin1	NOMcom	|NOMB.=s||GENRE=f||CAS=n||DEGRE=p|
fusse	estre1	VERcjg	|MODE=sub||TEMPS=ipf||PERS.=1||NOMB.=s|
quites	quite	ADJqua	|NOMB.=p||GENRE=m||CAS=n||DEGRE=p|
Ja	ja	ADVgen	DEGRE=-
[	[	PONfbl	MORPH=empty
lacune	laconce	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
]	]	PONfbl	MORPH=empty
Roie	roie	NOMcom	|NOMB.=s||CAS=r|
estre	estre1	VERinf	MORPH=empty
ne	ne2	CONcoo	MORPH=empty
moines	moine1	NOMcom	|NOMB.=p||GENRE=m||CAS=n|
[	[	PONfbl	MORPH=empty
lacune	laconce	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
]	]	PONfbl	MORPH=empty
Mais	mais1	CONcoo	MORPH=empty
nos	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=n|
ne	ne1	ADVneg	MORPH=empty
trovons	trover	VERcjg	|MODE=ind||TEMPS=pst||PERS.=1||NOMB.=p|
mie	mie	ADVneg	MORPH=empty
ceste	cest	DETdem	|NOMB.=s||GENRE=f||CAS=r|
[	[	PONfbl	MORPH=empty
lacune	laconce	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
]	]	PONfbl	MORPH=empty
escrite	escrire	VERppe	|NOMB.=s||GENRE=f||CAS=n|
Trop	trop	ADVgen	DEGRE=-
auroient	avoir	VERcjg	|MODE=con||PERS.=3||NOMB.=p|
dont	dont	ADVgen	|NOMB.=s||GENRE=m||CAS=i|
fait	faire	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
li	le	DETdef	|NOMB.=s||GENRE=m||CAS=n|
cordelier	cordelier	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
fol	fol3	ADJqua	|NOMB.=s||GENRE=m||CAS=r||DEGRE=p|
change	change	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
qui	qui	PROrel	|NOMB.=p||GENRE=m||CAS=n|
tozjors	tozjors	ADVgen	DEGRE=-
vont	aler	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
deschauz	deschauz	ADJqua	|NOMB.=p||GENRE=m||CAS=r|
et	et	CONcoo	MORPH=empty
se	soi1	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
frotent	froiter	VERcjg	NOMB.=s
au	a3+le	PRE.DETdef	|NOMB.=s||GENRE=m||CAS=r|
lange	lange	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
.	.	PONfrt	MORPH=empty
S’	se	CONsub	MORPH=empty
il	il	PROper	|PERS.=3||NOMB.=p||GENRE=m||CAS=n|
cuidoeint	cuidier1	VERcjg	|MODE=ind||TEMPS=ipf||PERS.=3||NOMB.=p|
avoir	avoir	VERinf	MORPH=empty
paradis	paradis	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
sans	sans	PRE	MORPH=empty
eschange	eschange	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
,	,	PONfbl	MORPH=empty
jamais	ja+mais1	ADVgen	DEGRE=-
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
bonne	bon	ADJqua	|NOMB.=s||GENRE=f||CAS=r||DEGRE=p|
vie	vie1	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
ne	ne1	ADVneg	MORPH=empty
lor	il	PROper	|PERS.=3||NOMB.=p||GENRE=m||CAS=r|
[	[	PONfbl	MORPH=empty
103ra	cerdre	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=s|
]	]	PONfbl	MORPH=empty
seroit	estre1	VERcjg	|MODE=con||PERS.=3||NOMB.=s|
estrange	estrange	ADJqua	|NOMB.=s||GENRE=f||CAS=n||DEGRE=p|
.	.	PONfrt	MORPH=empty
Qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
bien	bien1	ADVgen	DEGRE=p
repentans	repentir	VERppa	|NOMB.=s||GENRE=m||CAS=n|
et	et	CONcoo	MORPH=empty
confes	confès	ADJqua	|NOMB.=s||GENRE=m||CAS=n|
vraiment	verai	ADVgen	DEGRE=-
Et	et	CONcoo	MORPH=empty
pris	prendre	VERcjg	|NOMB.=s||GENRE=m||CAS=n|
en	en1	PRE	MORPH=empty
bones	bon	ADJqua	|NOMB.=p||GENRE=f||CAS=r||DEGRE=p|
oeuvres	uevre	NOMcom	|NOMB.=p||GENRE=f||CAS=r|
cil	cel	PROdem	|NOMB.=s||GENRE=m||CAS=n|
ert	estre1	VERcjg	|MODE=ind||TEMPS=ipf||PERS.=3||NOMB.=s|
sax	sauf	ADJqua	|NOMB.=s||GENRE=m||CAS=n|
vraiement	verai	ADVgen	DEGRE=-
Mes	mais1	CONcoo	DEGRE=-
en	en1	PRE	MORPH=empty
.	.	PONfrt	MORPH=empty
iiii	catre	DETcar	|NOMB.=p||GENRE=m||CAS=r|
.	.	PONfrt	MORPH=empty
milliers	milier	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
ne	ne2	CONcoo	MORPH=empty
n’	ne1	ADVneg	MORPH=empty
avra	avoir	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=s|
mie	mie	ADVneg	MORPH=empty
.	.	PONfrt	MORPH=empty
c	cent	PROcar	MORPH=empty
.	.	PONfrt	MORPH=empty
Qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
peust	pöoir	VERcjg	|MODE=sub||TEMPS=pst||PERS.=3||NOMB.=s|
avenir	avenant	VERinf	MORPH=empty
la	là	ADVgen	DEGRE=-
ou	où	PROrel	|NOMB.=s||GENRE=n||CAS=i|
chascun	chascun	PROind	|NOMB.=s||GENRE=m||CAS=n|
s’	soi1	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
atent	ataindre	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
.	.	PONfrt	MORPH=empty
Por	por2	PRE	MORPH=empty
cest	cest	DETdem	|NOMB.=s||GENRE=m||CAS=r|
cil	cel	PROdem	|NOMB.=s||GENRE=m||CAS=n|
sor	sor2	PRE	MORPH=empty
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
peche	pechier	VERcjg	|NOMB.=s||GENRE=f||CAS=r|
en	en1	PRE	MORPH=empty
itel	itel	DETind	|NOMB.=s||GENRE=f||CAS=r|
esperance	esperance	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
Que	que2	PROrel	|NOMB.=s||GENRE=f||CAS=r|
nos	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=n|
n’	ne1	ADVneg	MORPH=empty
avons	avoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=1||NOMB.=p|
de	de	PRE	MORPH=empty
vivre	vivre1	VERinf	MORPH=empty
ne	ne2	CONcoo	MORPH=empty
plege	pleige	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
ne	ne2	CONcoo	MORPH=empty
fiance	fïance	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
.	.	PONfrt	MORPH=empty
S’	se	CONsub	MORPH=empty
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
sauz	sauf	ADJqua	|NOMB.=s||GENRE=m||CAS=n||DEGRE=p|
en	en1	PRE	MORPH=empty
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
fin	fin1	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
par	par	PRE	MORPH=empty
bone	bon	ADJqua	|NOMB.=s||GENRE=f||CAS=r||DEGRE=p|
repentance	repentece	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
Por	por2	PRE	MORPH=empty
ce	ce1	PROdem	|NOMB.=s||GENRE=n||CAS=r|
n’	ne1	ADVneg	MORPH=empty
iert	estre1	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=s|
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
ja	ja	ADVgen	DEGRE=-
quites	quite	ADJqua	|NOMB.=p||GENRE=f||CAS=r||DEGRE=p|
de	de	PRE	MORPH=empty
faire	faire	VERinf	MORPH=empty
penitance	penitence	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
.	.	PONfrt	MORPH=empty
A	a3	PRE	MORPH=empty
Diex	dieu	NOMpro	|NOMB.=s||GENRE=m||CAS=r|
!	!	PONfrt	MORPH=empty
La	le	DETdef	|NOMB.=s||GENRE=f||CAS=n|
penitance	penitence	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
seroit	estre1	VERcjg	|MODE=con||PERS.=3||NOMB.=s|
bonne	bon	ADJqua	|NOMB.=s||GENRE=f||CAS=r||DEGRE=p|
a	a3	PRE	MORPH=empty
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
vie	vie1	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
Quar	car	CONcoo	MORPH=empty
qui	qui	PROrel	|NOMB.=s||GENRE=f||CAS=n|
sauroit	savoir	VERcjg	|MODE=con||PERS.=3||NOMB.=s|
l’	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
angoisse	angoisse	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
,	,	PONfbl	MORPH=empty
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
douleur	dolor	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
,	,	PONfbl	MORPH=empty
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
hachie	hache	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
Qu’	que2	CONsub	|NOMB.=s||GENRE=f||CAS=r|
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
covient	covenir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
soufrir	sofrir	VERinf	MORPH=empty
l’	il	PROper	|NOMB.=s||GENRE=f||CAS=r|
arme	ame	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
einz	ainz	ADVgen	DEGRE=-
que	que4	CONsub	MORPH=empty
soit	estre1	VERcjg	|MODE=sub||TEMPS=pst||PERS.=3||NOMB.=s|
espenie	espensie	NOMcom	|NOMB.=s||GENRE=f||CAS=n|
Jamais	ja+mais1	ADVgen	DEGRE=-
de	de	PRE	MORPH=empty
pechié	pechié	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
faire	faire	VERinf	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
li	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=i|
penroit	prendre	VERcjg	|MODE=con||PERS.=3||NOMB.=s|
envie	envie	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
.	.	PONfrt	MORPH=empty
Il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
y	i2	PROadv	MORPH=empty
a	avoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
des	de+le	PRE.DETdef	|NOMB.=p||GENRE=f||CAS=r|
armes	arme	NOMcom	|NOMB.=p||GENRE=f||CAS=r|
qui	qui	PROrel	|NOMB.=p||GENRE=m||CAS=n|
cent	cent	DETcar	|NOMB.=p||GENRE=m||CAS=r|
anz	an	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
art	ardre	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
et	et	CONcoo	MORPH=empty
frit	fraindre	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
Ou	o3	CONcoo	|NOMB.=s||GENRE=m||CAS=r|
feu	feu	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
de	de	PRE	MORPH=empty
Purgatoire	purgatoire	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
dont	dont	PROrel	|NOMB.=s||GENRE=f||CAS=i|
l’	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
escripture	escriture	NOMcom	|NOMB.=s||GENRE=f||CAS=n|
dist	dire	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
.	.	PONfrt	MORPH=empty
Que	que4	CONsub	MORPH=empty
d’	de	PRE	MORPH=empty
un	un	DETndf	|NOMB.=s||GENRE=m||CAS=r|
pechié	pechié	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
mortel	mortel	ADJqua	|NOMB.=s||GENRE=m||CAS=r||DEGRE=p|
c’	que2	PROrel	|NOMB.=s||GENRE=m||CAS=r|
on	on	PROind	|NOMB.=s||GENRE=n||CAS=n|
fait	faire	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
en	en1	PRE	MORPH=empty
faus	faus	ADJqua	|NOMB.=s||GENRE=m||CAS=r|
delit	delit2	NOMcom	|NOMB.=s||GENRE=m||CAS=r||DEGRE=p|
Li	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=i|
covient	covenir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
.	.	PONfrt	MORPH=empty
vii	set	PROcar	|NOMB.=p||GENRE=m||CAS=r|
.	.	PONfrt	MORPH=empty
anz	an	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
estre	estre1	VERinf	MORPH=empty
ainz	ainz	ADVgen	DEGRE=-
